day_of_the_year	cross_correlation_value	median_absolute_deviation	magnitude	latitude	longitude	event_id	year	month	day	hour	min	sec	depth	number_of_stations	decimal_year
1.08833217592593	0.273000000000000	9.01000000000000	0.830000000000000	36.4251000000000	-96.8481000000000	20160904053304.0	2016	1	1	2	7	11	0	12	2016.00298000000
1.13969386574074	0.281000000000000	9.75000000000000	1.05000000000000	36.4286000000000	-96.8959000000000	20160904034852.0	2016	1	1	3	21	9	0	11	2016.00312000000
1.17831828703704	0.270000000000000	9.06000000000000	1.37000000000000	36.4212000000000	-96.8336000000000	20160903221149.0	2016	1	1	4	16	46	0	10	2016.00323000000
1.22428935185185	0.276000000000000	9.26000000000000	0.900000000000000	36.4618000000000	-96.8404000000000	20160903173625.0	2016	1	1	5	22	58	0	12	2016.00335000000
1.32569560185185	0.287000000000000	9.60000000000000	1.07000000000000	36.4308000000000	-96.8922000000000	20160905025636.0	2016	1	1	7	49	0	0	12	2016.00363000000
1.45296990740741	0.271000000000000	9.35000000000000	0.710000000000000	36.4175000000000	-96.8080000000000	20160903134523.0	2016	1	1	10	52	16	0	12	2016.00398000000
1.51341840277778	0.279000000000000	9.40000000000000	1.38000000000000	36.4363000000000	-96.8213000000000	20160903173906.0	2016	1	1	12	19	19	0	10	2016.00415000000
1.72201273148148	0.273000000000000	9.03000000000000	1.26000000000000	36.4286000000000	-96.8742000000000	20160911045716.0	2016	1	1	17	19	41	0	14	2016.00472000000
1.78243460648148	0.287000000000000	9.01000000000000	-999.500000000000	36.4050000000000	-96.8117000000000	20160904020657.0	2016	1	1	18	46	42	0	10	2016.00488000000
1.78683333333333	0.271000000000000	9.02000000000000	1.26000000000000	36.4293000000000	-96.9131000000000	20160903124538.0	2016	1	1	18	53	2	0	12	2016.00490000000
1.86335127314815	0.296000000000000	10.4000000000000	0.670000000000000	36.4363000000000	-96.8213000000000	20160903173906.0	2016	1	1	20	43	13	0	10	2016.00511000000
1.87228356481481	0.286000000000000	9.60000000000000	-999.410000000000	36.4378000000000	-96.8623000000000	20160903221614.0	2016	1	1	20	56	5	0	12	2016.00513000000
1.89002835648148	0.270000000000000	9.10000000000000	0.560000000000000	36.4223000000000	-96.8349000000000	20160904054434.0	2016	1	1	21	21	38	0	12	2016.00518000000
1.97103587962963	0.276000000000000	9.25000000000000	1	36.4618000000000	-96.8404000000000	20160903173625.0	2016	1	1	23	18	17	0	12	2016.00540000000
1.97709432870370	0.275000000000000	9.23000000000000	0.630000000000000	36.4354000000000	-96.8747000000000	20160903160654.0	2016	1	1	23	27	0	0	12	2016.00542000000
1.99535763888889	0.265000000000000	9.10000000000000	0.850000000000000	36.4130000000000	-96.8738000000000	20160904180812.0	2016	1	1	23	53	18	0	10	2016.00547000000
2.10652604166667	0.276000000000000	9.06000000000000	0.310000000000000	36.4336000000000	-96.9070000000000	20160904101141.0	2016	1	2	2	33	23	0	12	2016.00577000000
2.13454340277778	0.272000000000000	9.09000000000000	0.960000000000000	36.4135000000000	-96.8240000000000	20160904032642.0	2016	1	2	3	13	44	0	12	2016.00585000000
2.15015104166667	0.282000000000000	9.67000000000000	1	36.4293000000000	-96.9131000000000	20160903124538.0	2016	1	2	3	36	13	0	12	2016.00589000000
