id,name,geometry
546.0,,"LINESTRING (-100.38983417990279 36.9899696471887, -100.38900797750188 36.933787883926584, -100.3774411438891 36.91809003830923, -100.38074595349275 36.905697002295526, -100.37413633428544 36.88256333506995, -100.35430747666352 36.83960081022245)"
547.0,,"LINESTRING (-100.62034464975766 36.66692450843154, -100.52946238565717 36.60743793556578, -100.4815426464042 36.56447541071828, -100.45510416957497 36.54464655309636, -100.43197050234939 36.51159845705982)"
,,"LINESTRING (-101.79834805043131 36.99365243309296, -101.82404018753263 36.944103311540445, -102.00388514724177 36.67158314300158, -102.0240718263928 36.63763281897484, -102.04242335289374 36.61102310554849, -102.08830216914608 36.56422671297111, -102.11766461154757 36.52752365996924, -102.13142825642326 36.50183152286794)"
0.0,,"LINESTRING (-102.03191163216131 36.52569549187351, -102.06875487411247 36.51054369925115, -102.07472120204099 36.50788870107233)"
0.0,,"LINESTRING (-101.94435091894627 36.711550227693266, -101.94437409818305 36.711494101406714, -101.94454315931793 36.7111008909223, -101.94470881485262 36.710707843732294, -101.94487446738589 36.71031479475135, -101.9450367151367 36.70992191071226, -101.94519896060476 36.70952902487318, -101.94536120523905 36.70913613939837, -101.94552004304968 36.7087434167373, -101.94568090719501 36.70837810339993, -101.9458431465881 36.707985216891934, -101.94600197985105 36.70759249209325, -101.94616421687059 36.707199605235616, -101.94632304719751 36.70680688230976, -101.94648868418838 36.70641382941776, -101.9466509165971 36.70602094205534, -101.94680974228346 36.70562821643827, -101.94696516138553 36.70523565477584, -101.9471171759626 36.704843255929205, -101.9472691897933 36.704450856919664, -101.94741779710262 36.70405862024142, -101.94756640306109 36.70366638452311, -101.9477184098489 36.70327398350178, -101.94787382231517 36.7028814203453, -101.9480292312067 36.70248885543789, -101.94819144657117 36.7020959648879, -101.94836046958139 36.7017027464405, -101.9485362987852 36.70130920065478, -101.94872436615539 36.700942573353984, -101.94891380683019 36.700548374470934, -101.94911208474292 36.700181257514885, -101.94930832867202 36.69978672877342, -101.949513410545 36.699419283542454, -101.94971986248049 36.699024265098764, -101.94992834330652 36.69865665571367, -101.95014022701804 36.698288882392156, -101.95035210604568 36.69792110828418, -101.95056535950845 36.697525759724506, -101.95078404412301 36.69715765933886, -101.9510027266308 36.696789555879555, -101.95122140717895 36.69642145319307, -101.95144008506418 36.69605335074683, -101.9516587616092 36.69568524740804, -101.95187540535068 36.69528973278242, -101.95209407785477 36.69492162934627, -101.95230934366256 36.69455368708288, -101.95252801209695 36.69418558080207, -101.95273987144506 36.69381780210931, -101.95295310032493 36.69342244961448, -101.95317176274801 36.69305434237742, -101.95338701866713 36.692686399087684, -101.95360567710516 36.69231829120412, -101.95382773734943 36.69195001927658, -101.9540463917683 36.691581910735565, -101.9542664171987 36.69118622722034, -101.95448506753961 36.69081811802733, -101.95470711757025 36.69044984481924, -101.95492576382934 36.69008173332038, -101.95514440808768 36.68971362149569, -101.95535964597703 36.689345673118574, -101.95557625383769 36.68895015144289, -101.95578808611583 36.688582366152076, -101.9559999158007 36.68821458112351, -101.95621174210487 36.687846793626676, -101.95641472937251 36.687451924139204, -101.95661974531075 36.687084463608706, -101.95681795302394 36.68671733256166, -101.95700732098011 36.68632311632808, -101.9571898806762 36.68592922579761, -101.95736766317584 36.68556307350736, -101.95754341116394 36.68516951185069, -101.95771235457552 36.684776276422355, -101.95788469504063 36.68438287656139, -101.95805363247156 36.68398964028068, -101.95822800550216 36.683623649666714, -101.95832405200251 36.68339896693822)"
0.0,,"LINESTRING (-102.00192742537514 36.66483038791945, -102.00911450840678 36.654130345798514, -102.0154470681649 36.64104997264778, -102.01730105764965 36.6344621019826, -102.01926184505928 36.60953348572864, -102.01938391667022 36.607511730921914, -102.01974250415785 36.60399463968391, -102.0187964010495 36.560973226824764, -102.01926941246575 36.530891042417856, -102.03191163216131 36.52569549187351)"
0.0,,"LINESTRING (-101.8142356048297 36.77760092043103, -101.81435999080118 36.77743006372562, -101.81462722030592 36.77705997830739, -101.8148930247303 36.77671746294762, -101.81515882548183 36.7763749471129, -101.81541923215619 36.77600517837299, -101.81568162360632 36.77566282194572, -101.81594741944262 36.77532030456131, -101.81620781692448 36.77495053440953, -101.81646679541578 36.77460833421494, -101.81672718816016 36.77423856365263, -101.81698956806757 36.77389620422203, -101.81724995800613 36.77352643044608, -101.81750892528305 36.77318422837383, -101.81776931054495 36.77281445583623, -101.81803167911104 36.77247209285244, -101.81829404745288 36.77212972932673, -101.81855442551009 36.771759953137746, -101.81881678922846 36.77141758863226, -101.81908056899103 36.77104765148148, -101.81934292807006 36.77070528598946, -101.81960869132273 36.77036275999518, -101.81987246592678 36.76999282130895, -101.82014163287275 36.76965013203782, -101.82041079482903 36.769307444508925, -101.82067796855344 36.76893734427871, -101.82094712772403 36.76859465346828, -101.82121628523988 36.76825196212088, -101.82148685728511 36.76788170031424, -101.82175601003071 36.76753900792531, -101.82202856607337 36.7671961555093, -101.82230112183561 36.766853303608954, -101.82257367311826 36.76651044957376, -101.82284423552547 36.76614018342863, -101.82312018958618 36.76579716819792, -101.82339273366328 36.7654543125584, -101.82366527810292 36.76511145631922, -101.82393781738021 36.764768597961584, -101.82421177290635 36.764398168515754, -101.82448430945801 36.764055310688754, -101.82475684153059 36.76371245072717, -101.82502937396588 36.76336959016599, -101.82530190138033 36.763026731333476, -101.8255724383387 36.762656457730316, -101.82584496358606 36.762313595572614, -101.82611407768142 36.76197089312413, -101.82638659752357 36.761628029920736, -101.82665371724212 36.7612579144472, -101.82692282491551 36.76091521042148, -101.82719193155775 36.76057250419431, -101.82745904395394 36.76020238718766, -101.82772814453902 36.75985968160819, -101.82799724409308 36.75951697382732, -101.82826094387225 36.75914701385751, -101.82853003664215 36.75880430509909, -101.82879912781932 36.75846159745292, -101.82906481271903 36.75811904619618, -101.82933190809202 36.75774892562472, -101.82959758624156 36.757406373404365, -101.82986666933323 36.75706366201777, -101.83013035222339 36.756693698539145, -101.83039602336831 36.75635114480056, -101.83066509733672 36.75600843137424, -101.83092877497953 36.75563846470054, -101.83119784423404 36.755295750797906, -101.83146350605531 36.75495319502834, -101.83173058146228 36.75458306599918, -101.83199964637907 36.75424035048586, -101.83226530112005 36.753897791542904, -101.8325323692252 36.75352766098891, -101.83280142707294 36.753184943930094, -101.83307047973214 36.752842223119266, -101.83333754051867 36.75247209103373, -101.83360659122097 36.752129370774, -101.83387563950706 36.75178664779633, -101.83414468280712 36.751443926562345, -101.83441173584981 36.751073790735255, -101.83467736956308 36.750731228854285, -101.83494640844611 36.750388503812054, -101.83521345013598 36.750018366649456, -101.83547908209195 36.74967580820931, -101.83574811717304 36.749333088286384, -101.83601515710569 36.74896295720523, -101.83628078199851 36.74862039668762, -101.83654980787756 36.74827767361629, -101.8368168425129 36.74790754040867, -101.83708586575628 36.74756481845198, -101.83735147923115 36.74722225594191, -101.83762049704072 36.74687953076882, -101.83788752255103 36.74650939385458, -101.83815994098333 36.74616650935619, -101.83842895235179 36.74582378260458, -101.83869596981968 36.745453644165266, -101.83896838097711 36.74511075533603, -101.839240792511 36.74476786645637, -101.83950979439695 36.74442513761509, -101.83978220051385 36.744082247689384, -101.84005601612579 36.74371178559114, -101.84032841739621 36.74336889459598, -101.84060422213234 36.74302584249715, -101.84088002375788 36.7426827893161, -101.84115582498396 36.74233973443809, -101.84143162179465 36.74199668015919, -101.84170882949202 36.7416260525452, -101.84199143495518 36.741282675909034, -101.84227943561422 36.7409665491725, -101.84256884827491 36.740622848459445, -101.84285825641021 36.74027914883592, -101.84315447610642 36.739935126717775, -101.8434472861159 36.739591263538045, -101.84374549232456 36.73927465176763, -101.84404510927921 36.73893046708996, -101.8443413179079 36.73858644077655, -101.84464292424977 36.73826966467762, -101.84493912848829 36.73792563870349, -101.84523532735221 36.73758161105696, -101.84553152632425 36.737237582156936, -101.84582631083717 36.736921124854234, -101.84611569295916 36.73657741612165, -101.84640507250349 36.73623370568225, -101.84669104338828 36.735890157029324, -101.84697360620328 36.73554676632228, -101.8472493542654 36.73520369710758, -101.84752510130711 36.73486062786134, -101.84779403505125 36.734517879033405, -101.84805756596056 36.73414787789671, -101.84831287262887 36.73380577004689, -101.84856277449363 36.7334364116664, -101.84880586530893 36.73306737326675, -101.84904413639445 36.73272606641372, -101.84927359873926 36.732357670442845, -101.84949965433493 36.731989434891716, -101.84970527464546 36.73162216276367)"
0.0,,"LINESTRING (-101.94435091894627 36.711550227693266, -101.94437409818305 36.711494101406714, -101.94454315931793 36.7111008909223, -101.94470881485262 36.710707843732294, -101.94487446738589 36.71031479475135, -101.9450367151367 36.70992191071226, -101.94519896060476 36.70952902487318, -101.94536120523905 36.70913613939837, -101.94552004304968 36.7087434167373, -101.94568090719501 36.70837810339993, -101.9458431465881 36.707985216891934, -101.94600197985105 36.70759249209325, -101.94616421687059 36.707199605235616, -101.94632304719751 36.70680688230976, -101.94648868418838 36.70641382941776, -101.9466509165971 36.70602094205534, -101.94680974228346 36.70562821643827, -101.94696516138553 36.70523565477584, -101.9471171759626 36.704843255929205, -101.9472691897933 36.704450856919664, -101.94741779710262 36.70405862024142, -101.94756640306109 36.70366638452311, -101.9477184098489 36.70327398350178, -101.94787382231517 36.7028814203453, -101.9480292312067 36.70248885543789, -101.94819144657117 36.7020959648879, -101.94836046958139 36.7017027464405, -101.9485362987852 36.70130920065478, -101.94872436615539 36.700942573353984, -101.94891380683019 36.700548374470934, -101.94911208474292 36.700181257514885, -101.94930832867202 36.69978672877342, -101.949513410545 36.699419283542454, -101.94971986248049 36.699024265098764, -101.94992834330652 36.69865665571367, -101.95014022701804 36.698288882392156, -101.95035210604568 36.69792110828418, -101.95056535950845 36.697525759724506, -101.95078404412301 36.69715765933886, -101.9510027266308 36.696789555879555, -101.95122140717895 36.69642145319307, -101.95144008506418 36.69605335074683, -101.9516587616092 36.69568524740804, -101.95187540535068 36.69528973278242, -101.95209407785477 36.69492162934627, -101.95230934366256 36.69455368708288, -101.95252801209695 36.69418558080207, -101.95273987144506 36.69381780210931, -101.95295310032493 36.69342244961448, -101.95317176274801 36.69305434237742, -101.95338701866713 36.692686399087684, -101.95360567710516 36.69231829120412, -101.95382773734943 36.69195001927658, -101.9540463917683 36.691581910735565, -101.9542664171987 36.69118622722034, -101.95448506753961 36.69081811802733, -101.95470711757025 36.69044984481924, -101.95492576382934 36.69008173332038, -101.95514440808768 36.68971362149569, -101.95535964597703 36.689345673118574, -101.95557625383769 36.68895015144289, -101.95578808611583 36.688582366152076, -101.9559999158007 36.68821458112351, -101.95621174210487 36.687846793626676, -101.95641472937251 36.687451924139204, -101.95661974531075 36.687084463608706, -101.95681795302394 36.68671733256166, -101.95700732098011 36.68632311632808, -101.9571898806762 36.68592922579761, -101.95736766317584 36.68556307350736, -101.95754341116394 36.68516951185069, -101.95771235457552 36.684776276422355, -101.95788469504063 36.68438287656139, -101.95805363247156 36.68398964028068, -101.95822800550216 36.683623649666714, -101.95832405200251 36.68339896693822)"
0.0,,"LINESTRING (-101.78479020820839 36.815447518148844, -101.78501194716769 36.815107142304, -101.78526095878544 36.81476549417049, -101.78550458275777 36.81439659221279, -101.78575161233913 36.81402753182732, -101.78600204814119 36.813658312429396, -101.78625105094049 36.81331666254405, -101.78650148215712 36.81294744171063, -101.78675191303758 36.812578218737244, -101.7870077260621 36.81223624920838, -101.787261560128 36.81186686783674, -101.78751737063918 36.81152489567992, -101.78777119868774 36.811155513422044, -101.7880304151049 36.81081338110187, -101.78828764819487 36.810443838696216, -101.78854685728885 36.81010170493292, -101.7888074960195 36.809732002330065, -101.78907010950391 36.80938970837513, -101.78933074270505 36.809020003168065, -101.78959676192359 36.80867755060419, -101.78986277535364 36.80833509596236, -101.7901268123373 36.80796522997856, -101.79039282175037 36.8076227743087, -101.7906622412055 36.80728016042915, -101.79092626817494 36.806910292452066, -101.79119568076995 36.80656767593924, -101.79146168281869 36.806225216528105, -101.791729112704 36.805855187714606, -101.7919985182059 36.805512569645956, -101.79226792341478 36.805169951005894, -101.79253732348683 36.804827330258156, -101.79280474428919 36.80445729937005, -101.79307754966928 36.80411451766937, -101.79334694541016 36.80377189693649, -101.79361974607542 36.80342911471785, -101.7938905643874 36.8030589224369, -101.79416336088498 36.80271613858512, -101.79443615434381 36.802373354761784, -101.79470894609076 36.802030569835566, -101.79497975444245 36.80166037379193, -101.79525595069643 36.80131743004226, -101.79553214237269 36.800974482491874, -101.79580492384294 36.80063169597548, -101.79608111351388 36.80028874891376, -101.79636070725648 36.799945641931096, -101.79663689211628 36.799602694308845, -101.7969164816787 36.79925958618545, -101.79719067925377 36.79888922419816, -101.7974736716499 36.7985459555267, -101.79775325381043 36.79820284571278, -101.79803624258506 36.797859574206534, -101.79831922758079 36.79751630380055, -101.79860221139108 36.79717303058347, -101.79888860119084 36.796829599500086, -101.79917157801073 36.79648632571235, -101.79945994447627 36.79617030392573, -101.79974632612024 36.79582686942329, -101.80003270523973 36.795483433775885, -101.80031908255812 36.79513999806651, -101.80060545871882 36.79479656118002, -101.80089183102855 36.7944531242799, -101.80117820013064 36.79410968625097, -101.8014645667486 36.793766248176354, -101.80175093357566 36.793422808892416, -101.80203729510525 36.79307936742895, -101.80232365421092 36.79273592756858, -101.80261001346574 36.79239248485024, -101.80289296009246 36.792049203372784, -101.80317931230584 36.791705759520006, -101.80346225389367 36.791362474676475, -101.80374519371364 36.791019189786255, -101.80402472363659 36.79067606336941, -101.80430765853069 36.79033277732641, -101.80458718356041 36.78998964977159, -101.8048667060916 36.78964652000275, -101.80514281687398 36.78930355154768, -101.80541892587377 36.788960580877124, -101.80569503381432 36.78861760907406, -101.80596574642243 36.78824738611212, -101.80624184812014 36.78790441325452, -101.80651454222368 36.78756160001573, -101.8067872311409 36.787218784106976, -101.80705650917294 36.78687612957505, -101.80732721211028 36.78650590226103, -101.80759648528606 36.78616324448685, -101.80766210117251 36.78607766018668)"
0.0,,"LINESTRING (-101.8142356048297 36.77760092043103, -101.81435999080118 36.77743006372562, -101.81462722030592 36.77705997830739, -101.8148930247303 36.77671746294762, -101.81515882548183 36.7763749471129, -101.81541923215619 36.77600517837299, -101.81568162360632 36.77566282194572, -101.81594741944262 36.77532030456131, -101.81620781692448 36.77495053440953, -101.81646679541578 36.77460833421494, -101.81672718816016 36.77423856365263, -101.81698956806757 36.77389620422203, -101.81724995800613 36.77352643044608, -101.81750892528305 36.77318422837383, -101.81776931054495 36.77281445583623, -101.81803167911104 36.77247209285244, -101.81829404745288 36.77212972932673, -101.81855442551009 36.771759953137746, -101.81881678922846 36.77141758863226, -101.81908056899103 36.77104765148148, -101.81934292807006 36.77070528598946, -101.81960869132273 36.77036275999518, -101.81987246592678 36.76999282130895, -101.82014163287275 36.76965013203782, -101.82041079482903 36.769307444508925, -101.82067796855344 36.76893734427871, -101.82094712772403 36.76859465346828, -101.82121628523988 36.76825196212088, -101.82148685728511 36.76788170031424, -101.82175601003071 36.76753900792531, -101.82202856607337 36.7671961555093, -101.82230112183561 36.766853303608954, -101.82257367311826 36.76651044957376, -101.82284423552547 36.76614018342863, -101.82312018958618 36.76579716819792, -101.82339273366328 36.7654543125584, -101.82366527810292 36.76511145631922, -101.82393781738021 36.764768597961584, -101.82421177290635 36.764398168515754, -101.82448430945801 36.764055310688754, -101.82475684153059 36.76371245072717, -101.82502937396588 36.76336959016599, -101.82530190138033 36.763026731333476, -101.8255724383387 36.762656457730316, -101.82584496358606 36.762313595572614, -101.82611407768142 36.76197089312413, -101.82638659752357 36.761628029920736, -101.82665371724212 36.7612579144472, -101.82692282491551 36.76091521042148, -101.82719193155775 36.76057250419431, -101.82745904395394 36.76020238718766, -101.82772814453902 36.75985968160819, -101.82799724409308 36.75951697382732, -101.82826094387225 36.75914701385751, -101.82853003664215 36.75880430509909, -101.82879912781932 36.75846159745292, -101.82906481271903 36.75811904619618, -101.82933190809202 36.75774892562472, -101.82959758624156 36.757406373404365, -101.82986666933323 36.75706366201777, -101.83013035222339 36.756693698539145, -101.83039602336831 36.75635114480056, -101.83066509733672 36.75600843137424, -101.83092877497953 36.75563846470054, -101.83119784423404 36.755295750797906, -101.83146350605531 36.75495319502834, -101.83173058146228 36.75458306599918, -101.83199964637907 36.75424035048586, -101.83226530112005 36.753897791542904, -101.8325323692252 36.75352766098891, -101.83280142707294 36.753184943930094, -101.83307047973214 36.752842223119266, -101.83333754051867 36.75247209103373, -101.83360659122097 36.752129370774, -101.83387563950706 36.75178664779633, -101.83414468280712 36.751443926562345, -101.83441173584981 36.751073790735255, -101.83467736956308 36.750731228854285, -101.83494640844611 36.750388503812054, -101.83521345013598 36.750018366649456, -101.83547908209195 36.74967580820931, -101.83574811717304 36.749333088286384, -101.83601515710569 36.74896295720523, -101.83628078199851 36.74862039668762, -101.83654980787756 36.74827767361629, -101.8368168425129 36.74790754040867, -101.83708586575628 36.74756481845198, -101.83735147923115 36.74722225594191, -101.83762049704072 36.74687953076882, -101.83788752255103 36.74650939385458, -101.83815994098333 36.74616650935619, -101.83842895235179 36.74582378260458, -101.83869596981968 36.745453644165266, -101.83896838097711 36.74511075533603, -101.839240792511 36.74476786645637, -101.83950979439695 36.74442513761509, -101.83978220051385 36.744082247689384, -101.84005601612579 36.74371178559114, -101.84032841739621 36.74336889459598, -101.84060422213234 36.74302584249715, -101.84088002375788 36.7426827893161, -101.84115582498396 36.74233973443809, -101.84143162179465 36.74199668015919, -101.84170882949202 36.7416260525452, -101.84199143495518 36.741282675909034, -101.84227943561422 36.7409665491725, -101.84256884827491 36.740622848459445, -101.84285825641021 36.74027914883592, -101.84315447610642 36.739935126717775, -101.8434472861159 36.739591263538045, -101.84374549232456 36.73927465176763, -101.84404510927921 36.73893046708996, -101.8443413179079 36.73858644077655, -101.84464292424977 36.73826966467762, -101.84493912848829 36.73792563870349, -101.84523532735221 36.73758161105696, -101.84553152632425 36.737237582156936, -101.84582631083717 36.736921124854234, -101.84611569295916 36.73657741612165, -101.84640507250349 36.73623370568225, -101.84669104338828 36.735890157029324, -101.84697360620328 36.73554676632228, -101.8472493542654 36.73520369710758, -101.84752510130711 36.73486062786134, -101.84779403505125 36.734517879033405, -101.84805756596056 36.73414787789671, -101.84831287262887 36.73380577004689, -101.84856277449363 36.7334364116664, -101.84880586530893 36.73306737326675, -101.84904413639445 36.73272606641372, -101.84927359873926 36.732357670442845, -101.84949965433493 36.731989434891716, -101.84970527464546 36.73162216276367)"
